127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.000992
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000399
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000431
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000479
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/lhgdialog/skins/default.css, HTTP/1.1, 200, 0.000298
127.0.0.1, 2016-05-16 14:59:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/lhgdialog/skins/icons/loading.gif, HTTP/1.1, 200, 0.000316
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000270
127.0.0.1, 2016-05-16 14:59:20, GET, /fmgqcx/user/delete, HTTP/1.1, 500, 0.622670
127.0.0.1, 2016-05-16 14:59:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000454
127.0.0.1, 2016-05-16 14:59:23, GET, /admin/default/ticket/fmgqcx/127.0.0.1.2016-05-16.14-59-19.46ef7d23-e353-4d2d-b80a-5bc8149141d0, HTTP/1.1, 200, 0.054374
127.0.0.1, 2016-05-16 14:59:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2016-05-16 14:59:37, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.698946
127.0.0.1, 2016-05-16 14:59:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2016-05-16 14:59:37, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000364
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.700034
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001135
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.001087
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.001650
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001758
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.001402
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.000585
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000423
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/lhgdialog/lhgdialog.min.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001028
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/lhgdialog/skins/default.css, HTTP/1.1, 304, 0.000323
127.0.0.1, 2016-05-16 15:08:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2016-05-16 15:08:13, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000310
127.0.0.1, 2016-05-16 15:08:15, GET, /fmgqcx/user/delete, HTTP/1.1, 500, 0.648210
127.0.0.1, 2016-05-16 15:08:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2016-05-16 15:08:17, GET, /admin/default/ticket/fmgqcx/127.0.0.1.2016-05-16.15-08-14.43766a0d-72bb-4595-92cc-e6cafd9492f5, HTTP/1.1, 200, 0.047207
127.0.0.1, 2016-05-16 15:08:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2016-05-16 15:08:21, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.701372
127.0.0.1, 2016-05-16 15:08:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2016-05-16 15:08:22, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000952
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.715365
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.000394
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.000445
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000394
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.000795
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000352
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.000327
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000349
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/lhgdialog/lhgdialog.min.js, HTTP/1.1, 304, 0.000425
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/lhgdialog/skins/default.css, HTTP/1.1, 304, 0.000442
127.0.0.1, 2016-05-16 15:08:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2016-05-16 15:08:55, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000450
127.0.0.1, 2016-05-16 15:08:57, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000301
127.0.0.1, 2016-05-16 15:08:57, GET, /fmgqcx/static/lhgdialog/skins/icons/confirm.gif, HTTP/1.1, 200, 0.000888
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.664131
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.000641
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000779
